time_since_first_tweet,url_title,sum_of_toxicity,sum_of_total_conversations
0,european gas futures reach per cubic,0.011268537833333333,3
0,great britain imposes sanctions against sputniks,0.011184660425,4
0,hindu group marches to support russian,0.052100192999999996,2
0,norwegian intelligence sees no alternatives to,0.03770977,1
0,russian mod unveils emails showing hunter,0.07413795573125,16
0,state department americans leave immediatel,0.1389812132,10
0,ukraine aid bill license kil,0.32504289419,20
0,ukraine black sea mine,0.07881532509090909,11
0,ukraine defense industry russi,0.08651968280769232,26
0,ukraine threatens to sink any foreign,0.12829850799999998,2
0,us president biden unveils policy on,0.016510460275,4
0,wests sadomasochism why anti russia sanctions,0.29021257,1
0,who are the americans coordinating bioweapons,0.04358512798333333,6
0,world cup draw ukraine scotland wale,0.091421876,3
1,hindu group marches to support russian,0.0729142,1
1,russian mod unveils emails showing hunter,0.048921948,5
1,state department americans leave immediatel,0.04695037202,5
1,ukraine aid bill license kil,0.28111074623076926,13
1,ukraine black sea mine,0.030499261,2
1,ukraine defense industry russi,0.0899162912,15
1,wests sadomasochism why anti russia sanctions,0.28021416,1
1,who are the americans coordinating bioweapons,0.03338910109,20
2,ukraine aid bill license kil,0.334470504,5
2,ukraine defense industry russi,0.10198546666666668,3
2,wests sadomasochism why anti russia sanctions,0.260171205,2
3,state department americans leave immediatel,0.02792408,1
3,ukraine aid bill license kil,0.21804169,1
3,wests sadomasochism why anti russia sanctions,0.28021416,1
4,ukraine defense industry russi,0.1008549,1
4,wests sadomasochism why anti russia sanctions,0.29096833499999997,2
5,wests sadomasochism why anti russia sanctions,0.30248883,2
8,wests sadomasochism why anti russia sanctions,0.29070088,1
10,ukraine black sea mine,0.040971663,1
14,russian mod unveils emails showing hunter,0.060527626,1
18,russian mod unveils emails showing hunter,0.0019002642,1
